LID,Glottocode,Language,Microrelation,Macrorelation,LocusOfMarkingComments,IsDefaultLocusOfMarking,LocusOfMarking,LocusOfMarkingBinned6,LocusOfMarkingBinned5,LocusOfMarkingCategoryCondition,LocusOfMarkingSyntacticDomainCondition,LocusOfMarkingSemanticDomainCondition
106,sand1278,Huave,U-default,P,"S and A take different prefixes, so I analyze the A marking as both head marking of A and construct marking of U.  In addition, pronouns have subject vs. object forms.",FALSE,h+D,2,D,,,
106,sand1278,Huave,B-default,P,Independent pronouns distinguish subject and object forms.  Same form used for both U and B (296).,TRUE,,,,,,
106,sand1278,Huave,B-default,P,Independent pronouns distinguish subject and object forms.  Same form used for both U and B (296).,FALSE,D,D,D,,,
106,sand1278,Huave,POSS-default,POSS,,TRUE,H,H,H,,,
106,sand1278,Huave,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
558,mund1320,Mundari,S-default,S,Verb agreement and zero nominative case.,TRUE,H+D,2,2,,,
558,mund1320,Mundari,A-default,A,Verb agreement and zero nominative case.,TRUE,H+D,2,2,,,
558,mund1320,Mundari,U-default,P,Verb agreement and object postposition.,TRUE,H+D,2,2,,,
558,mund1320,Mundari,B-default,P,Verb agreement and indirect object postposition.,TRUE,H+D,2,2,,,
558,mund1320,Mundari,POSS-default,POSS,,TRUE,D,D,D,,,
656,koro1312,Korowai,S-default,S,,TRUE,H,H,H,,,
656,koro1312,Korowai,A-default,A,,TRUE,H,H,H,,,
656,koro1312,Korowai,U-default,P,Object form of pronouns is optional.,TRUE,Ø,Ø,Ø,N,nominal,noun-like
656,koro1312,Korowai,U-default,P,Object form of pronouns is optional.,FALSE,D,D,D,Pro,nominal,non-SAP
656,koro1312,Korowai,B-default,P,Not entirely certain.  Not clear that there is any systematic marker for indirect object.,TRUE,D,D,D,N,nominal,noun-like
656,koro1312,Korowai,B-default,P,Not entirely certain.  Not clear that there is any systematic marker for indirect object.,FALSE,D,D,D,Pro,nominal,non-SAP
656,koro1312,Korowai,POSS-default,POSS,"Not entirely certain.  Only H marking is described, but only for pronoun possessors and only illustrated with kin terms.  Survey of texts makes clear that kin terms regularly take H-marked possession, but it looks as though other nouns take juxtaposition (or compounding, written as one word in the texts).",TRUE,Ø,Ø,Ø,,,
656,koro1312,Korowai,POSS-default,POSS,"Not entirely certain.  Only H marking is described, but only for pronoun possessors and only illustrated with kin terms.  Survey of texts makes clear that kin terms regularly take H-marked possession, but it looks as though other nouns take juxtaposition (or compounding, written as one word in the texts).",FALSE,H,H,H,N-kin,nominal,noun-like
656,koro1312,Korowai,ATTR-default,ATTR,Some adjectives take plural in agreement (71) [though nouns don’t have overt plural].,TRUE,Ø,Ø,Ø,,,
656,koro1312,Korowai,ATTR-default,ATTR,Some adjectives take plural in agreement (71) [though nouns don’t have overt plural].,FALSE,D,D,D,,,
566,seme1247,Semelai,S-default,S,"For a smallish set of active verbs there is a subject proclitic, with pronoun subjects only.",TRUE,Ø,Ø,Ø,,,
566,seme1247,Semelai,S-default,S,"For a smallish set of active verbs there is a subject proclitic, with pronoun subjects only.",FALSE,H,H,H,,,
566,seme1247,Semelai,A-default,A,"Pronouns:  H only (subject proclitic).  Nouns: the same proclitic, plus a proclitic on the A noun.",TRUE,H+D,2,2,,,
566,seme1247,Semelai,A-default,A,"Pronouns:  H only (subject proclitic).  Nouns: the same proclitic, plus a proclitic on the A noun.",FALSE,H,H,H,Pro,nominal,non-SAP
566,seme1247,Semelai,U-default,P,"Case marking (prefix) only on postverbal nouns, and not necessarily on those.",TRUE,d,D,D,,,
566,seme1247,Semelai,U-default,P,"Case marking (prefix) only on postverbal nouns, and not necessarily on those.",FALSE,H,H,H,Pro,nominal,non-SAP
566,seme1247,Semelai,B-default,P,"Pronouns:  H (restricted) or Ø (unrestricted); nouns: those options, or a preposition.",TRUE,H/D,,2,,,
566,seme1247,Semelai,B-default,P,"Pronouns:  H (restricted) or Ø (unrestricted); nouns: those options, or a preposition.",FALSE,F+d,2,FloatingorClitic,Pro,nominal,non-SAP
654,nisg1240,Nisgha,S-default,S,,TRUE,H,H,H,,,
654,nisg1240,Nisgha,A-default,A,,TRUE,H,H,H,,,
654,nisg1240,Nisgha,U-default,P,,TRUE,H,H,H,,,
654,nisg1240,Nisgha,B-default,P,,TRUE,Ø,Ø,Ø,,,
654,nisg1240,Nisgha,POSS-default,POSS,,TRUE,H,H,H,,,
27,atak1252,Atakapa,S-default,S,,TRUE,H,H,H,,,
27,atak1252,Atakapa,A-default,A,,TRUE,H,H,H,,,
27,atak1252,Atakapa,U-default,P,Overt noun DO can trigger no object agreement on verb.  Conditions not stated.  Could this be an adjacent-argument condition of some kind?,TRUE,H,H,H,,,
27,atak1252,Atakapa,U-default,P,Overt noun DO can trigger no object agreement on verb.  Conditions not stated.  Could this be an adjacent-argument condition of some kind?,FALSE,Ø,Ø,Ø,N,nominal,noun-like
27,atak1252,Atakapa,B-default,P,"Object agreement with DO or IO (and maybe both? two object prefix columns in the table on p. 144, and some examples with both present.  The only text example of a three-argument verb has pronoun B with postposition and object agreement on verb (unclear to me whether it agrees with the B or the U).  See log.",TRUE,H+D,2,2,,,
27,atak1252,Atakapa,POSS-default,POSS,,TRUE,Ø,Ø,Ø,,,
27,atak1252,Atakapa,POSS-default,POSS,,FALSE,H,H,H,N,nominal,noun-like
147,kuna1268,Kunama,S-default,S,Zero-marked nominative.,TRUE,H+D,2,2,,,
147,kuna1268,Kunama,A-default,A,Zero-marked nominative.,TRUE,H+D,2,2,,,
147,kuna1268,Kunama,U-default,P,Object postposition (same postposition for both U and B) is optional on U if no ambiguity would result.,TRUE,D,D,D,N,nominal,noun-like
147,kuna1268,Kunama,U-default,P,Object postposition (same postposition for both U and B) is optional on U if no ambiguity would result.,FALSE,H+D,2,2,Pro,nominal,non-SAP
147,kuna1268,Kunama,B-default,P,Object postposition (same postposition for both U and B) is optional on U if no ambiguity would result.,TRUE,D,D,D,N,nominal,noun-like
147,kuna1268,Kunama,B-default,P,Object postposition (same postposition for both U and B) is optional on U if no ambiguity would result.,FALSE,H+D,2,2,Pro,nominal,non-SAP
147,kuna1268,Kunama,POSS-default,POSS,,TRUE,DD,D,D,N,nominal,noun-like
147,kuna1268,Kunama,POSS-default,POSS,,FALSE,H,H,H,Pro,nominal,non-SAP
147,kuna1268,Kunama,POSS-default,POSS,,FALSE,Ø,Ø,Ø,N,nominal,noun-like
163,lugb1240,Logbara,S-default,S,Pronoun subject may have Ø marking only in one of the two aspects.  See log; this depends on how the pronominal “short form” is analyzed.,TRUE,D,D,D,,,
163,lugb1240,Logbara,S-default,S,Pronoun subject may have Ø marking only in one of the two aspects.  See log; this depends on how the pronominal “short form” is analyzed.,FALSE,Ø,Ø,Ø,,,
163,lugb1240,Logbara,A-default,A,Pronoun subject may have Ø marking only in one of the two aspects. See log; this depends on how the pronominal “short form” is analyzed.,TRUE,D,D,D,,,
163,lugb1240,Logbara,A-default,A,Pronoun subject may have Ø marking only in one of the two aspects. See log; this depends on how the pronominal “short form” is analyzed.,FALSE,Ø,Ø,Ø,,,
163,lugb1240,Logbara,U-default,P,,TRUE,Ø,Ø,Ø,,,
163,lugb1240,Logbara,B-default,P,Postposition.,TRUE,D,D,D,,,
163,lugb1240,Logbara,POSS-default,POSS,Postposition.,TRUE,D,D,D,,,
163,lugb1240,Logbara,ATTR-default,ATTR,Agreement suffix and suffix indicating attributive function.,TRUE,DD,D,D,,,
34,beja1238,Beja,S-default,S,,TRUE,H+D,2,2,,,
34,beja1238,Beja,A-default,A,,TRUE,H+D,2,2,,,
34,beja1238,Beja,U-default,P,"H marking for the pronoun:  either U or B can have it, but not both.",TRUE,D,D,D,,,
34,beja1238,Beja,U-default,P,"H marking for the pronoun:  either U or B can have it, but not both.",FALSE,H+D,2,2,Pro,nominal,non-SAP
34,beja1238,Beja,B-default,P,"H marking for the pronoun:  either U or B can have it, but not both.",TRUE,D,D,D,,,
34,beja1238,Beja,B-default,P,"H marking for the pronoun:  either U or B can have it, but not both.",FALSE,H+D,2,2,Pro,nominal,non-SAP
34,beja1238,Beja,POSS-default,POSS,"H marking for the pronoun:  either U or B can have it, but not both.",TRUE,DD,D,D,,,
34,beja1238,Beja,POSS-default,POSS,"H marking for the pronoun:  either U or B can have it, but not both.",FALSE,H,H,H,Pro,nominal,non-SAP
34,beja1238,Beja,ATTR-default,ATTR,"Agreement in gender, number, case, and (if adj. is postposed) definiteness.",TRUE,D,D,D,,,
154,haka1240,Hakka Lai,POSS-default,POSS,Source:  Peterson sketch,TRUE,Ø,Ø,Ø,N,nominal,noun-like
154,haka1240,Hakka Lai,POSS-default,POSS,Source:  Peterson sketch,FALSE,H,H,H,Pro,nominal,non-SAP
421,yoru1245,Yoruba,B-default,P,Apparently any second object has a preposition or a serial verb; count this as D marking.,TRUE,D,D,D,,,
421,yoru1245,Yoruba,POSS-default,POSS,"Lengthening of final vowel of possessed noun.  This happens in only some nouns.Pronouns:  genitive case; also, initial vowel is harmonic with final vowel of possessed noun.",TRUE,H,H,H,N,nominal,noun-like
421,yoru1245,Yoruba,POSS-default,POSS,"Lengthening of final vowel of possessed noun.  This happens in only some nouns.Pronouns:  genitive case; also, initial vowel is harmonic with final vowel of possessed noun.",FALSE,D,D,D,Pro,nominal,non-SAP
420,yima1243,Yimas,POSS-default,POSS,,TRUE,D,D,D,,,
109,iauu1242,Iau,POSS-default,POSS,"Too few examples to be sure.  The H construction is shown with kin terms only.   Default changed from D on H to plain H.  Construction is [Ben [his pig]], isolating pronominal agreement.  [JN 8-17-2003]",TRUE,H,H,H,N,nominal,noun-like
109,iauu1242,Iau,POSS-default,POSS,"Too few examples to be sure.  The H construction is shown with kin terms only.   Default changed from D on H to plain H.  Construction is [Ben [his pig]], isolating pronominal agreement.  [JN 8-17-2003]",FALSE,D,D,D,Pro,nominal,non-SAP
191,siwa1245,Motuna,S-default,S,"Core arguments: case (abs/erg) plus agreement.  There are only two core arguments.  Primary/secondary object system.  A secondary object is also absolutive, but does not trigger verb agreement.",TRUE,H+D,2,2,,,
191,siwa1245,Motuna,A-default,A,"Core arguments: case (abs/erg) plus agreement.  There are only two core arguments.  Primary/secondary object system.  A secondary object is also absolutive, but does not trigger verb agreement.",TRUE,H+D,2,2,,,
191,siwa1245,Motuna,U-default,P,"Core arguments: case (abs/erg) plus agreement.  There are only two core arguments.  Primary/secondary object system.  A secondary object is also absolutive, but does not trigger verb agreement.",TRUE,H+D,2,2,,,
191,siwa1245,Motuna,B-default,P,"Core arguments: case (abs/erg) plus agreement.  There are only two core arguments.  Primary/secondary object system.  A secondary object is also absolutive, but does not trigger verb agreement.",TRUE,D,D,D,,,
191,siwa1245,Motuna,POSS-default,POSS,"See NP Types.  Not entirely sure which is the default, but the two main candidates both have D locus.",TRUE,D,D,D,,,
191,siwa1245,Motuna,POSS-default,POSS,"See NP Types.  Not entirely sure which is the default, but the two main candidates both have D locus.",FALSE,H,H,H,,,
175,maor1246,Maori,POSS-default,POSS,"Genitive preposition, plus number agreement with head in all but one construction (where possessor is postposed).",TRUE,DD,D,D,,,
175,maor1246,Maori,POSS-default,POSS,"Genitive preposition, plus number agreement with head in all but one construction (where possessor is postposed).",FALSE,D,D,D,,,
566,seme1247,Semelai,POSS-default,POSS,"Zero, or (3rd person only, core relation only) H, for both nouns and pronouns; also, less commonly, D (preposition), nouns only.",TRUE,Ø,Ø,Ø,,,
566,seme1247,Semelai,POSS-default,POSS,"Zero, or (3rd person only, core relation only) H, for both nouns and pronouns; also, less commonly, D (preposition), nouns only.",FALSE,H,H,H,,,
566,seme1247,Semelai,POSS-default,POSS,"Zero, or (3rd person only, core relation only) H, for both nouns and pronouns; also, less commonly, D (preposition), nouns only.",FALSE,D,D,D,N,nominal,noun-like
409,wint1259,Wintu,S-default,S,"Two cases:  subject and object.  Verb subject agreement.From 1988 records.",TRUE,H+D,2,2,,,
409,wint1259,Wintu,A-default,A,"Two cases:  subject and object.  Verb subject agreement.From 1988 records.",TRUE,H+D,2,2,,,
409,wint1259,Wintu,U-default,P,"Two cases:  subject and object.  Verb subject agreement.Personal object suffix (actually floats); construct (indexes but doesn’t agree) that cooccurs with overt pronoun or noun object; when there is no overt object, the suffix is interpreted as first person.  I take this to be DOM.From 1988 records.",TRUE,F+D,2,2,Pro_or_N-hum,nominal,non-SAP
409,wint1259,Wintu,U-default,P,"Two cases:  subject and object.  Verb subject agreement.Personal object suffix (actually floats); construct (indexes but doesn’t agree) that cooccurs with overt pronoun or noun object; when there is no overt object, the suffix is interpreted as first person.  I take this to be DOM.From 1988 records.",FALSE,D,D,D,,,
409,wint1259,Wintu,POSS-default,POSS,"H marking with pronoun possessor only, inalienables only.From 1988 records.",TRUE,D,D,D,,,
409,wint1259,Wintu,POSS-default,POSS,"H marking with pronoun possessor only, inalienables only.From 1988 records.",FALSE,H,H,H,N-alien,nominal,noun-like
202,natc1249,Natchez,S-default,S,,TRUE,H,H,H,,,
202,natc1249,Natchez,A-default,A,,TRUE,H,H,H,,,
202,natc1249,Natchez,U-default,P,,TRUE,H,H,H,,,
202,natc1249,Natchez,POSS-default,POSS,Participial form ‘which is ours’ with person agreement in dual and plural forms of pronominals; ordinary head marking in singular.   (Haas p. 28)   I suppose that in the NP this participial is a dependent.,TRUE,H,H,H,,,
202,natc1249,Natchez,POSS-default,POSS,Participial form ‘which is ours’ with person agreement in dual and plural forms of pronominals; ordinary head marking in singular.   (Haas p. 28)   I suppose that in the NP this participial is a dependent.,FALSE,D,D,D,,,
317,nuuc1236,Nuuchahnulth,S-default,S,From 1987-88 notes.,TRUE,H,H,H,,,
317,nuuc1236,Nuuchahnulth,A-default,A,From 1987-88 notes.,TRUE,H,H,H,,,
317,nuuc1236,Nuuchahnulth,U-default,P,"From 1987-88 notes.Most notes say there is no object agreement, but a couple of examples indicate there may be.",TRUE,Ø,Ø,Ø,,,
317,nuuc1236,Nuuchahnulth,POSS-default,POSS,From 1987-88 notes.,TRUE,H,H,H,,,
338,quil1240,Quileute,S-default,S,From 1988 notes.,TRUE,H+D,2,2,,,
338,quil1240,Quileute,A-default,A,From 1988 notes.,TRUE,H+D,2,2,,,
338,quil1240,Quileute,U-default,P,From 1988 notes.,TRUE,H+D,2,2,,,
338,quil1240,Quileute,POSS-default,POSS,From 1988 notes.,TRUE,H,H,H,,,
442,sius1254,Siuslaw (Lower Umpqua),S-default,S,From c. 1988 notes.,TRUE,H+D,2,2,,,
442,sius1254,Siuslaw (Lower Umpqua),A-default,A,From c. 1988 notes.,TRUE,H+D,2,2,,,
442,sius1254,Siuslaw (Lower Umpqua),U-default,P,From c. 1988 notes.,TRUE,H+D,2,2,,,
442,sius1254,Siuslaw (Lower Umpqua),POSS-default,POSS,"From c. 1988 notes.It looks as though pronoun possessors are head-marked but also have a possessive form in the independent pronoun, i.e. double-marked.  This needs to be checked.  Also possessor ascension or something: suffixes coding subject and/or object coreference in possessors (see 8-87 notes).",TRUE,D,D,D,,,
442,sius1254,Siuslaw (Lower Umpqua),POSS-default,POSS,"From c. 1988 notes.It looks as though pronoun possessors are head-marked but also have a possessive form in the independent pronoun, i.e. double-marked.  This needs to be checked.  Also possessor ascension or something: suffixes coding subject and/or object coreference in possessors (see 8-87 notes).",FALSE,H+D,2,2,Pro,nominal,non-SAP
379,tlin1245,Tlingit,S-default,S,"Alt. is “subjectival syntactic marker” which must be on A when subject prefix is not on the verb (ALB can’t find conditions for the verb prefix not appearing).Story 1972:96, 26, 27.JN 1988 notes had only H.",TRUE,H,H,H,,,
379,tlin1245,Tlingit,S-default,S,"Alt. is “subjectival syntactic marker” which must be on A when subject prefix is not on the verb (ALB can’t find conditions for the verb prefix not appearing).Story 1972:96, 26, 27.JN 1988 notes had only H.",FALSE,D,D,D,,,
379,tlin1245,Tlingit,A-default,A,"Alt. is “subjectival syntactic marker” which must be on A when subject prefix is not on the verb (ALB can’t find conditions for the verb prefix not appearing).Story 1972:96, 26, 27.JN 1988 notes had only H.",TRUE,H,H,H,,,
379,tlin1245,Tlingit,A-default,A,"Alt. is “subjectival syntactic marker” which must be on A when subject prefix is not on the verb (ALB can’t find conditions for the verb prefix not appearing).Story 1972:96, 26, 27.JN 1988 notes had only H.",FALSE,D,D,D,,,
379,tlin1245,Tlingit,U-default,P,"Story 1972:96, 26, 27.  JN 1988 notes.",TRUE,H,H,H,,,
379,tlin1245,Tlingit,POSS-default,POSS,"JN 1988 notes have only H.Story 1972:204, 31.",TRUE,H,H,H,,,
379,tlin1245,Tlingit,POSS-default,POSS,"JN 1988 notes have only H.Story 1972:204, 31.",FALSE,H+D,2,2,Pro,nominal,non-SAP
377,timu1245,Timucua,S-default,S,"Granberry 1993 says no cases; de la Grasserie seems to have them.  Granberry has postpositions, but I think not in core roles.",TRUE,H,H,H,,,
377,timu1245,Timucua,A-default,A,"Granberry 1993 says no cases; de la Grasserie seems to have them.  Granberry has postpositions, but I think not in core roles.",TRUE,H,H,H,,,
377,timu1245,Timucua,U-default,P,"Granberry 1993 says no cases; de la Grasserie seems to have them.  Granberry has postpositions, but I think not in core roles.",TRUE,H,H,H,,,
377,timu1245,Timucua,POSS-default,POSS,"Prefix for singular possessor; usually juxtaposition for plural,but prefixation also possible.  (Granberry 1993:85-86.)",TRUE,H,H,H,,,
377,timu1245,Timucua,POSS-default,POSS,"Prefix for singular possessor; usually juxtaposition for plural,but prefixation also possible.  (Granberry 1993:85-86.)",FALSE,Ø,Ø,Ø,,,
184,misk1235,Miskito,S-default,S,From 1990 notes.,TRUE,H,H,H,,,
184,misk1235,Miskito,S-default,S,From 1990 notes.,FALSE,H+D,2,2,Pro,nominal,non-SAP
184,misk1235,Miskito,A-default,A,From 1990 notes.,TRUE,H,H,H,,,
184,misk1235,Miskito,A-default,A,From 1990 notes.,FALSE,H+D,2,2,Pro,nominal,non-SAP
184,misk1235,Miskito,U-default,P,From 1990 notes.,TRUE,Ø,Ø,Ø,N,nominal,noun-like
184,misk1235,Miskito,U-default,P,From 1990 notes.,FALSE,D,D,D,Pro,nominal,non-SAP
184,misk1235,Miskito,POSS-default,POSS,From 1990 notes.,TRUE,H,H,H,,,
599,chay1248,Chayahuita,S-default,S,,TRUE,H,H,H,,,
599,chay1248,Chayahuita,A-default,A,"Verb agreement, and “emphatic subject” suffix, used when immediately precedes the verb and the verb has no overt direct object.	ca-ri  man-ahuë  (1s-ERG  [verb]-1sg)  ‘yo lo agarré’I have taken this to be the default marking (on the analog of treating the overt marking of objects in DOM as the default), but this may not be the best analysis.  Usually there is only one overt NP per clause (p. 287); this supports my analysis.",TRUE,H+D,2,2,,,
599,chay1248,Chayahuita,A-default,A,"Verb agreement, and “emphatic subject” suffix, used when immediately precedes the verb and the verb has no overt direct object.	ca-ri  man-ahuë  (1s-ERG  [verb]-1sg)  ‘yo lo agarré’I have taken this to be the default marking (on the analog of treating the overt marking of objects in DOM as the default), but this may not be the best analysis.  Usually there is only one overt NP per clause (p. 287); this supports my analysis.",FALSE,H,H,H,,,
599,chay1248,Chayahuita,U-default,P,"Verb agreement, and “emphatic object” suffix.  No info. on when it is used.Object is primary object.",TRUE,H+D,2,2,,,
599,chay1248,Chayahuita,U-default,P,"Verb agreement, and “emphatic object” suffix.  No info. on when it is used.Object is primary object.",FALSE,H,H,H,,,
599,chay1248,Chayahuita,POSS-default,POSS,,TRUE,Ø,Ø,Ø,N,nominal,noun-like
599,chay1248,Chayahuita,POSS-default,POSS,,FALSE,H,H,H,Pro,nominal,non-SAP
92,puel1244,Gününa-Küne,S-default,S,Verb subject agreement (and apparently no other clause marking): Casamiquela 1983: 67ff.,TRUE,H,H,H,,,
92,puel1244,Gününa-Küne,A-default,A,Verb subject agreement (and apparently no other clause marking): Casamiquela 1983: 67ff.,TRUE,H,H,H,,,
92,puel1244,Gününa-Küne,U-default,P,,TRUE,Ø,Ø,Ø,,,
92,puel1244,Gününa-Küne,POSS-default,POSS,,TRUE,H,H,H,,,
352,shua1257,Shuar,S-default,S,From 1990 notes.,TRUE,H+D,2,2,,,
352,shua1257,Shuar,A-default,A,From 1990 notes.,TRUE,H+D,2,2,,,
352,shua1257,Shuar,U-default,P,"From 1990 notes.Dative-accusative case.  For nouns, used when subject is 1sg or 3rd person; for 2nd person, or 1pl, zero case.(Similar account in Saad 2014.)",TRUE,H+D,2,2,,,
352,shua1257,Shuar,POSS-default,POSS,"From 1990 notes.Genitive case and possessive suffix.",TRUE,H+D,2,2,,,
326,paez1247,Paez,S-default,S,"From 1990 datasheet.Zero-marked nominative plus person-number(-gender) agreement.",TRUE,H+D,2,2,,,
326,paez1247,Paez,A-default,A,"From 1990 datasheet.Zero-marked nominative plus person-number(-gender) agreement.",TRUE,H+D,2,2,,,
326,paez1247,Paez,U-default,P,"From 1990 datasheet.Accusative case.",TRUE,D,D,D,,,
326,paez1247,Paez,POSS-default,POSS,From 1990 datasheet.,TRUE,H,H,H,,,
329,paum1247,Paumarí,S-default,S,"From 1995 notes.  Needs rechecking.Verb agreement plus case; also, obligatory demonstrative preposed to either subject or object (depending on whether the clause is ergative or accusative).",TRUE,H+D,2,2,N,nominal,noun-like
329,paum1247,Paumarí,S-default,S,"From 1995 notes.  Needs rechecking.Verb agreement plus case; also, obligatory demonstrative preposed to either subject or object (depending on whether the clause is ergative or accusative).",FALSE,H,H,H,Pro,nominal,non-SAP
329,paum1247,Paumarí,A-default,A,"From 1995 notes.  Needs rechecking.Verb agreement plus case; also, obligatory demonstrative preposed to either subject or object (depending on whether the clause is ergative or accusative).",TRUE,H+D,2,2,N,nominal,noun-like
329,paum1247,Paumarí,A-default,A,"From 1995 notes.  Needs rechecking.Verb agreement plus case; also, obligatory demonstrative preposed to either subject or object (depending on whether the clause is ergative or accusative).",FALSE,H,H,H,Pro,nominal,non-SAP
329,paum1247,Paumarí,U-default,P,"From 1995 notes.  Needs rechecking.Verb agreement (with noun only [!]) plus case; also, obligatory demonstrative preposed to either subject or object (depending on whether the clause is ergative or accusative).",TRUE,H+D,2,2,N,nominal,noun-like
329,paum1247,Paumarí,U-default,P,"From 1995 notes.  Needs rechecking.Verb agreement (with noun only [!]) plus case; also, obligatory demonstrative preposed to either subject or object (depending on whether the clause is ergative or accusative).",FALSE,D,D,D,Pro,nominal,non-SAP
329,paum1247,Paumarí,B-default,P,From 1995 notes.,TRUE,D,D,D,,,
329,paum1247,Paumarí,POSS-default,POSS,"Noun possessor:  Nouns belonging to the _ka_ class take ka- as a [construct marker].  Also, the possessed noun agrees with the possessor in gender.Pronoun possessor:  Possessive prefix (alienable) or prefix + suffix (inalienable).  (I am not sure I have all the details right here, but it is certainly head marking.  There is an alienable/inalienable classification, gender, and the _ka_ class -- I believe three orthogonal classification systems all of which show up in possessive constructions.  The _ka_ class may just be binary possessive classification.)  Chapman & Derbyshire pp. 254-9.",TRUE,H,H,H,N,nominal,noun-like
329,paum1247,Paumarí,POSS-default,POSS,"Noun possessor:  Nouns belonging to the _ka_ class take ka- as a [construct marker].  Also, the possessed noun agrees with the possessor in gender.Pronoun possessor:  Possessive prefix (alienable) or prefix + suffix (inalienable).  (I am not sure I have all the details right here, but it is certainly head marking.  There is an alienable/inalienable classification, gender, and the _ka_ class -- I believe three orthogonal classification systems all of which show up in possessive constructions.  The _ka_ class may just be binary possessive classification.)  Chapman & Derbyshire pp. 254-9.",FALSE,H,H,H,Pro,nominal,non-SAP
348,sanu1240,Sanuma,POSS-default,POSS,Entered from NP Structure records.,TRUE,D,D,D,,,
348,sanu1240,Sanuma,POSS-default,POSS,Entered from NP Structure records.,FALSE,Ø,Ø,Ø,,,
397,waor1240,Waorani,S-default,S,,TRUE,H,H,H,,,
397,waor1240,Waorani,A-default,A,,TRUE,H,H,H,,,
397,waor1240,Waorani,U-default,P,,TRUE,Ø,Ø,Ø,,,
397,waor1240,Waorani,POSS-default,POSS,"Different construction for (some?) kin terms, apparently, but no specifics on what it is.",TRUE,Ø,Ø,Ø,,,
65,dizi1235,Dizi,S-default,S,"Verb agreement and absence of object marker (which I am analyzing as nominative case, though this needs checking).",TRUE,H+D,2,2,,,
65,dizi1235,Dizi,A-default,A,"Verb agreement and absence of object marker (which I am analyzing as nominative case, though this needs checking).",TRUE,H+D,2,2,,,
65,dizi1235,Dizi,U-default,P,"Object marker (not used on indefinites, so this is DOM).",TRUE,D,D,D,,,
65,dizi1235,Dizi,POSS-default,POSS,"Tone changes in both words.Non-default:  suffix on possessor, for inalienables only (body parts).",TRUE,H+D,2,2,,,
65,dizi1235,Dizi,POSS-default,POSS,"Tone changes in both words.Non-default:  suffix on possessor, for inalienables only (body parts).",FALSE,D,D,D,,,
91,gumu1244,Gumuz,S-default,S,From 1995 worksheet.,TRUE,H,H,H,,,
91,gumu1244,Gumuz,A-default,A,From 1995 worksheet.,TRUE,H,H,H,,,
91,gumu1244,Gumuz,U-default,P,From 1995 worksheet.,TRUE,D,D,D,,,
91,gumu1244,Gumuz,B-default,P,From 1995 worksheet.,TRUE,D,D,D,,,
91,gumu1244,Gumuz,POSS-default,POSS,From 1995 worksheet.,TRUE,Ø,Ø,Ø,N,nominal,noun-like
91,gumu1244,Gumuz,POSS-default,POSS,From 1995 worksheet.,FALSE,H,H,H,Pro,nominal,non-SAP
111,ikkk1242,Ik,S-default,S,"Verb agreement, and (zero-marked) nominative.From 1990 worksheet.",TRUE,H+D,2,2,,,
111,ikkk1242,Ik,A-default,A,"Verb agreement, and (zero-marked) nominative.From 1990 worksheet.",TRUE,H+D,2,2,,,
111,ikkk1242,Ik,U-default,P,"Verb agreement, and (zero-marked) nominative.From 1990 worksheet.",TRUE,D,D,D,,,
111,ikkk1242,Ik,POSS-default,POSS,"Genitive case plus “complemental suffix” (construct-form linker?  constituent-internal element suffixed to first word).From 1990 worksheet.",TRUE,D,D,D,,,
111,ikkk1242,Ik,POSS-default,POSS,"Genitive case plus “complemental suffix” (construct-form linker?  constituent-internal element suffixed to first word).From 1990 worksheet.",FALSE,F+D,2,2,,,
81,furr1244,Fur,S-default,S,"From 1990 worksheet (based on Beaton; need to consult Jakobi 1990 on locus).Subject verb agreement and case (pronouns distinguish nom., acc., and dat.; nouns distinguish only nom=acc. and dat.).",TRUE,H+D,2,2,,,
81,furr1244,Fur,A-default,A,"From 1990 worksheet (based on Beaton; need to consult Jakobi 1990 on locus).Subject verb agreement and case (pronouns distinguish nom., acc., and dat.; nouns distinguish only nom=acc. and dat.).",TRUE,H+D,2,2,,,
81,furr1244,Fur,U-default,P,"From 1990 worksheet (based on Beaton; need to consult Jakobi 1990 on locus).Subject verb agreement and case (pronouns distinguish nom., acc., and dat.; nouns distinguish only nom=acc. and dat.).",TRUE,D,D,D,,,
81,furr1244,Fur,B-default,P,"From 1990 worksheet (based on Beaton; need to consult Jakobi 1990 on locus).Subject verb agreement and case (pronouns distinguish nom., acc., and dat.; nouns distinguish only nom=acc. and dat.).",TRUE,D,D,D,,,
81,furr1244,Fur,POSS-default,POSS,"From 1990 worksheet (based on Beaton; need to consult Jakobi 1990 on locus).Genitive case on possessor.",TRUE,D,D,D,,,
207,nara1262,Nera,S-default,S,,TRUE,H+D,2,2,,,
207,nara1262,Nera,A-default,A,,TRUE,H+D,2,2,,,
207,nara1262,Nera,U-default,P,Verbs agree in number with object (recorded for pronouns only).,TRUE,D,D,D,,,
207,nara1262,Nera,U-default,P,Verbs agree in number with object (recorded for pronouns only).,FALSE,H+D,2,2,,,
207,nara1262,Nera,POSS-default,POSS,Verbs agree in number with object (recorded for pronouns only).,TRUE,Ø,Ø,Ø,N,nominal,noun-like
207,nara1262,Nera,POSS-default,POSS,Verbs agree in number with object (recorded for pronouns only).,FALSE,D,D,D,Pro,nominal,non-SAP
323,tega1236,Orig,S-default,S,From 1986 worksheet.,TRUE,H,H,H,,,
