LID,Glottocode,Language,CohesionPatternLoc,MphmTypesInCohDomainProp,MphmTypesInCohPrefixDomainProp,MphmTypesInCohSuffixDomainProp,MphmTypesInCohStemDomainProp,MphmTypesInCohDomain,MphmTypesInCohDomainBinned77,CoherentEncliticBoundaryPresence,CoherentEnclEnclBoundaryPresence,CohPatternOutputOrigin,MphmTypesInCohDomainMultistemPresence,CohesionPatternLabel,CohesionPatternBinned18,CohesionPatternBinned12,CohesionPatternBinned4,CoherentPrefixBoundaryPresence,CoherentPrefixPrefixBoundaryPresence,CoherentPrefixStemBoundaryPresence,CoherentProclBoundaryPresence,CoherentProclPrefixBoundaryPresence,CoherentProclProcliticBoundaryPresence,CoherentProclStemBoundaryPresence,CohesionPatternDataSourceType,NumberMphmTypesInCohDomain,NumberMphmTypesInCohPrefixDomain,NumberMphmTypesInCohSuffixDomain,CoherentStemBoundaryPresence,CoherentStemEnclBoundaryPresence,CoherentStemEndoclBoundaryPresence,CoherentStemInfixBoundaryPresence,CoherentStemSuffixBoundaryPresence,CohesionPatternStressPresence,CohPatternStructurePreservingPresence,CoherentSuffixBoundaryPresence,CoherentSuffixEnclBoundaryPresence,CoherentSuffixSuffixBoundaryPresence,SurveyStatus,CohesionPatternType,MphmTypesInCohPrefixDomainPropBinned3,MphmTypesInCohSuffixDomainPropBinned3,MphmTypesInCohStemDomainPropBinned3
87,stan1295,German,Min Domain,0.142857142857143,0.2,0,0,prefix,5,0,0,Lexical,subphrasal,"Min Bimora, General (This domain must minimally be bimoraic (CV: or CVC))",size_related,size_related,size_related,1,1,0,0,0,0,0,Other published sources,1,1,0,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
677,swed1254,Swedish,spans,0.4,0.5,0.6666666666666667,1,stem (with alternation) + simulfix piece 2,101,0,0,Unknown,subphrasal,"Assimilation: Retroflextion (There is a spread of retroflexion manner across this domain); this constraint is resolved by: anticipatory spread/assimilation (extension of association of feature(s) of one constituent to another, based on what follows (“regressive”))",assimilation,process,segmental,0,0,0,,,,,Questionnaire,2,1,2,0,0,,,1,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
77,fiji1243,Fijian (Boumaa),spans,0.75,0.6666666666666667,1,1,stem ± prefix ± suffix,18,,,N/A,subphrasal,Fixed Order Word (this grammatical domain has a rigid/fixed order),morphosyntactic,morphosyntactic,morphosyntactic,0,1,1,0,0,0,0,Questionnaire,3,2,2,0,,,,1,,non_structure_preserving,0,,0,pword exhaustive (double-checked),G Domain,low,medium,low
77,fiji1243,Fijian (Boumaa),spans,0.25,0.3333333333333333,0.5,1,stem,2,,,N/A,subphrasal,Morphology Host/Target-General (This domain hosts general morphology),morphosyntactic,morphosyntactic,morphosyntactic,0,0,0,0,0,0,0,Questionnaire,1,1,1,1,,,,0,,non_structure_preserving,0,,0,pword exhaustive (double-checked),G Domain,low,low,low
77,fiji1243,Fijian (Boumaa),spans,0.75,0.6666666666666667,1,1,stem + prefix ± suffix,18,,,N/A,subphrasal,Inflectional Trigger Word (General) (a unit that is referenced by agreement or government rules as either the trigger or the target of these rules),morphosyntactic,morphosyntactic,morphosyntactic,0,0,1,0,0,0,0,Questionnaire,3,2,2,1,,,,1,,non_structure_preserving,0,,1,pword exhaustive (double-checked),G Domain,low,medium,low
580,yidi1250,Yidiny,Min Domain,0.333333333333333,0,0.5,0,suffix,21,,,Lexical,subphrasal,Min Disyllabic (A free form must be minimally this size; may include specific morphological domain or lexical information (see language-specific records)),size_related,size_related,size_related,0,0,0,,,,,Questionnaire,1,0,1,0,,,,0,other,structure_preserving,1,,0,pword exhaustive (double-checked),P Domain,low,low,low
580,yidi1250,Yidiny,spans,0.666666666666667,0,1,0,suffix ± suffix,17,,,Lexical,subphrasal,Exactly 1 Main Stress V: (The single main stress targets long vowels in this domain),stress,stress,suprasegmental,0,0,0,,,,,Questionnaire,2,0,2,0,,,,0,stress-related,structure_preserving,1,,1,pword exhaustive (double-checked),P Domain,low,medium,low
580,yidi1250,Yidiny,spans,0.666666666666667,0,1,0,suffix ± suffix,17,,,Unknown,subphrasal,Penult Vowel Lengthening (In this domain a penult syllable vowel is lengthened); this constraint is resolved by: Vowel Lengthening (a vowel is lengthened under these conditions),quantity,quantity,suprasegmental,0,0,0,,,,,Questionnaire,2,0,2,0,,,,0,other,non_structure_preserving,1,,1,pword exhaustive (double-checked),P Domain,low,medium,low
1207,czec1258,Czech,right edge,0.285714285714286,0.25,0.5,1,stem + suffix,3,0,0,Majority Lexical,subphrasal,"*C (coda) if voiced (Any voiced coda consonant in this domain banned, dispreferred (manner and/or place irrelevant in general sense)); this constraint is resolved by: devoicing (loss of/de-association of voicing feature)",strengthening,process,segmental,0,0,0,0,0,0,0,p.c.,2,1,2,0,0,,,1,other,structure_preserving,0,0,0,not yet exhaustive,P Domain,low,low,low
1207,czec1258,Czech,left edge,0.285714285714286,0.25,0.5,1,stem + suffix,3,0,0,Majority Lexical,subphrasal,"*C (coda) if voiced (Any voiced coda consonant in this domain banned, dispreferred (manner and/or place irrelevant in general sense)); this constraint is resolved by: C voicing/phonation assimilation-Anticipatory (spread of C phonation features (voiced/voiceless/murmur) based on what follows)",assimilation,process,segmental,0,0,0,0,0,0,0,p.c.,2,1,2,0,0,,,1,other,structure_preserving,0,0,0,not yet exhaustive,P Domain,low,low,low
420,yima1243,Yimas,right edge,0.666666666666667,0.5,1,1,stem + suffix,3,,,Non-Lexical,subphrasal,Non-initial footing Domain (This prosodic unit resets or creates a new or special domain for secondary stress in this domain),rhythm,rhythm,suprasegmental,0,0,0,,,,,Questionnaire,2,1,2,0,,,,1,other,non_structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,medium,low
420,yima1243,Yimas,right edge,0.666666666666667,0.5,1,1,stem + suffix,3,,,Lexical,subphrasal,"Vowel Harmony: Rounding (There is a vowel harmony of rounding-type in this domain); this constraint is resolved by: Vowel Assim, Peresev: Round (Vowel Harmony, Perseverative (based on what precedes), Roundness is main feature)",vowel_harmony,process,segmental,0,0,0,,,,,Questionnaire,2,1,2,0,,,,1,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,medium,low
420,yima1243,Yimas,left edge,0.333333333333333,0.5,0.5,1,stem,2,,,Not Lexical: Optional,subphrasal,"*V initial (A vowel-initial syllable banned in this domain); this constraint is resolved by: glide insertion (unspecified for P.O.A., addition of a consonant constituent; different from ID 39 where a segment alters to become glide)",insertion,process,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,non_structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
420,yima1243,Yimas,medial,0.666666666666667,1,0.5,1,prefix + stem,4,,,,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: vowel deletion/syllable deletion (removal of a vowel constituent; if vowel is syllabic then same as syllable deletion)",deletion,process,segmental,0,0,1,,,,,Questionnaire,2,2,1,0,,,,0,other,,0,,0,pword exhaustive (double-checked),P Domain,medium,low,low
420,yima1243,Yimas,spans,1,1,1,1,stem ± prefix ± suffix,18,,,Lexical,subphrasal,Exactly 1 Main Stress (In this domain there is exactly one main stress; the location of stress is morphologically determined but stress itself spans the domain),stress,stress,suprasegmental,0,1,1,,,,,Questionnaire,3,2,2,0,,,,1,stress-related,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,medium,medium,low
420,yima1243,Yimas,contains at least,0.333333333333333,0.5,0.5,1,stem,2,,,Lexical,subphrasal,Min CVC (Minimal phonological domain size includes both an onset and a heavy syllable (closed)),size_related,size_related,size_related,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
420,yima1243,Yimas,right edge,0.333333333333333,0.5,0.5,1,stem,2,,,Lexical,subphrasal,/r/ > [t] Alternation (A rhotic (unspecified further) alternates with the dental plosive in this domain); this constraint is resolved by: fortition (strengthening/increase of overall strength of segment),strengthening,process,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
420,yima1243,Yimas,left edge,0.666666666666667,0.5,1,1,stem + suffix,3,,,Lexical,subphrasal,/r/ > [t] Alternation (A rhotic (unspecified further) alternates with the dental plosive in this domain); this constraint is resolved by: fortition (strengthening/increase of overall strength of segment),strengthening,process,segmental,0,0,0,,,,,Questionnaire,2,1,2,0,,,,1,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,medium,low
420,yima1243,Yimas,medial,0.333333333333333,0.5,0.5,8,root,2,,,Lexical,subphrasal,/r/ > [t] Alternation (A rhotic (unspecified further) alternates with the dental plosive in this domain); this constraint is resolved by: fortition (strengthening/increase of overall strength of segment),strengthening,process,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,high
420,yima1243,Yimas,medial,0.333333333333333,0.5,0.5,8,root,2,,,Lexical,subphrasal,/l/ > [t] Alternation (The alveolar approximant alternates with the dental plosive in this domain); this constraint is resolved by: fortition (strengthening/increase of overall strength of segment),strengthening,process,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,high
420,yima1243,Yimas,right edge,0.333333333333333,0.5,0.5,1,stem,2,,,Unknown,subphrasal,*CC Coda (No C clusters are permitted in coda position in this domain); this constraint is resolved by: consonant deletion (removal of a consonant constituent),deletion,process,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,non_structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
420,yima1243,Yimas,medial,0.666666666666667,0.5,1,1,stem + suffix,3,,,Not Lexical: Optional,subphrasal,*CCC series (ambisyllabic) (A series of 3 adjacent consonants (regardless of syllable/foot membership) are dispreferred in this specific domain); this constraint is resolved by: nasal deletion (deletion of a nasal constituent),deletion,process,segmental,0,0,0,,,,,Questionnaire,2,1,2,0,,,,1,other,non_structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,medium,low
171,mand1415,Mandarin,spans,0.4,0.6666666666666667,0.6666666666666667,2,stem + stem,22,,0,Non-Lexical,phrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: vowel-to-nasal alternation and POA alternation (2 processes: gemination of a segment and a place of articulation change)",assimilation,process,segmental,0,0,0,0,0,0,0,Grammar Explicit,2,2,2,0,0,,,0,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
171,mand1415,Mandarin,right edge,0.4,0.6666666666666667,0.6666666666666667,2,stem + stem,22,,0,Non-Lexical,phrasal,*C Coda (No coda consonants (at all) are permitted in this domain (even though coda consonants are okay elsewhere)); this constraint is resolved by: consonant deletion (removal of a consonant constituent),deletion,process,segmental,0,0,0,0,0,0,0,Grammar Explicit,2,2,2,0,0,,,0,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
171,mand1415,Mandarin,left edge,0.4,0.6666666666666667,0.6666666666666667,2,stem + stem,22,,0,Lexical,phrasal,"Exactly 1 Main Stress, Heavy (The main lexical stress targets heavy/bimoraic syllables in this domain)",stress,stress,suprasegmental,0,0,0,0,0,0,0,Grammar Explicit,2,2,2,0,0,,,0,stress-related,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
171,mand1415,Mandarin,left edge,0.6,0.3333333333333333,1,1,stem ± suffix ± post particle,50,0,0,Lexical,subphrasal,"Exactly 1 Main Stress, Heavy (The main lexical stress targets heavy/bimoraic syllables in this domain)",stress,stress,suprasegmental,0,0,0,0,0,0,0,Grammar Explicit,3,1,3,1,1,,,1,stress-related,structure_preserving,0,1,1,pword exhaustive,P Domain,low,medium,low
171,mand1415,Mandarin,contains at least,0.2,0.3333333333333333,0.3333333333333333,1,stem,2,0,0,Lexical,subphrasal,"Min Disyllabic (A free form must be minimally this size; may include specific morphological domain or lexical information (see language-specific records)); this constraint is resolved by: vowel/syllable insertion (insertion of a vowel constituent; can include a syllabic vowel, thereby being same as syllable insertion)",size_related,size_related,size_related,0,0,0,0,0,0,0,Grammar Explicit,1,1,1,1,0,,,0,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
171,mand1415,Mandarin,left edge,0.4,0.6666666666666667,0.6666666666666667,2,stem + stem,22,,0,Lexical,phrasal,"Tone Downstep/Lowering (A general tone downstep or lowering applies in this domain); this constraint is resolved by: Tone lowering: anticipatory (The lowering of a tone, based on what follows)",tone,tone,suprasegmental,0,0,0,0,0,0,0,Grammar Explicit,2,2,2,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
171,mand1415,Mandarin,left edge,0.4,0.3333333333333333,0.6666666666666667,1,stem + suffix,3,0,0,Majority Lexical,subphrasal,*CC Coda (No C clusters are permitted in coda position in this domain),constraint,constraint,segmental,0,0,0,0,0,0,0,Grammar Explicit,2,1,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
171,mand1415,Mandarin,right edge,0.4,0.3333333333333333,0.6666666666666667,1,stem + suffix,3,0,0,Unknown,subphrasal,*C if voiceless stop (A voiceless stop onset is banned or dispreferred in this domain); this constraint is resolved by: lenition (weakening of overall strength of a segment),weakening,process,segmental,0,0,0,0,0,0,0,Grammar Explicit,2,1,2,0,0,,,1,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
171,mand1415,Mandarin,right edge,0.4,0.6666666666666667,0.6666666666666667,2,stem + stem,22,,0,Lexical,phrasal,*C if voiceless stop (A voiceless stop onset is banned or dispreferred in this domain); this constraint is resolved by: lenition (weakening of overall strength of a segment),weakening,process,segmental,0,0,0,0,0,0,0,Grammar Explicit,2,2,2,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
2790,yuec1235,Cantonese,left edge,0.333333333333333,1,0.3333333333333333,1,stem,2,0,0,Non-Lexical,subphrasal,Tone Raising (A rule of tone raising applies in this domain); this constraint is resolved by: Tone Raising: Anticipatory (the raising of a tone based on what follows),tone,tone,suprasegmental,,,,,,,,Other published sources,1,1,1,1,0,,,0,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,medium,low,low
2742,wuch1236,Wu,spans,1,1,1,1,preposed particle ± stem ± suffix,57,,,Lexical,subphrasal,"Single Tone Contour/Melody (A single (one and only one), contrastive pitch contour/melody spans this domain); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",tone,tone,suprasegmental,,,,1,,1,1,Grammar Explicit,3,2,2,1,,,,1,other,structure_preserving,0,,1,pword exhaustive,P Domain,medium,medium,low
2742,wuch1236,Wu,spans,1,1,1.5,2,stem + stem ± suffix,19,,,Lexical,phrasal,"Single Tone Contour/Melody (A single (one and only one), contrastive pitch contour/melody spans this domain); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",tone,tone,suprasegmental,,,,,,,,Grammar Explicit,3,2,3,1,,,,1,other,structure_preserving,,,1,pword exhaustive,P Domain,medium,medium,low
463,nucl1310,Burmese,left edge,0.5,0.5,0.6666666666666667,1,stem + suffix,3,0,0,Non-Lexical,subphrasal,"Stop Assimilation: place & manner (Coda) (A coda plosive C assimilates for both place & manner in this domain); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",assimilation,process,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,non_structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
463,nucl1310,Burmese,left edge,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Non-Lexical,phrasal,"Stop Assimilation: place & manner (Coda) (A coda plosive C assimilates for both place & manner in this domain); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",assimilation,process,segmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,non_structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
463,nucl1310,Burmese,left edge,0.5,0.5,0.6666666666666667,1,stem + suffix,3,0,0,Lexical,subphrasal,Tone Change: Creaky (A tone changes to creaky tone type in this domain); this constraint is resolved by: Tone change: Creaky (The changing of a tone to creaky type),tone,tone,suprasegmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
463,nucl1310,Burmese,left edge,0.75,1,1,2,stem + stem + suffix,19,,,Lexical,phrasal,Tone Change: Creaky (A tone changes to creaky tone type in this domain); this constraint is resolved by: Tone change: Creaky (The changing of a tone to creaky type),tone,tone,suprasegmental,,,,,,,,Grammar Explicit,3,2,3,,,,,1,other,structure_preserving,,,,pword exhaustive (double-checked),P Domain,medium,medium,low
2330,poli1260,Polish,left edge,0.4,0.3333333333333333,0.6666666666666667,1,stem + suffix,3,0,0,Non-Lexical,subphrasal,Coda “Softening”/Lenition (These coda consonants lenite or ‘soften’ in this domain); this constraint is resolved by: palatalization (assimilation or association of ‘feature’ PALATAL from one constituent to another; or surfacing of ‘feature’ palatal as a resolution),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
2330,poli1260,Polish,left edge,0.4,0.3333333333333333,0.6666666666666667,1,stem + suffix,3,0,0,Non-Lexical,subphrasal,Coda “Softening”/Lenition (These coda consonants lenite or ‘soften’ in this domain); this constraint is resolved by: palatalization (assimilation or association of ‘feature’ PALATAL from one constituent to another; or surfacing of ‘feature’ palatal as a resolution),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
2330,poli1260,Polish,left edge,0.4,0.3333333333333333,0.6666666666666667,1,stem + suffix,3,0,0,Non-Lexical,subphrasal,Coda “Softening”/Lenition (These coda consonants lenite or ‘soften’ in this domain); this constraint is resolved by: Palatalization & Vowel alternation (A consonant is palatalized and a vowel alternates (quality)),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
2330,poli1260,Polish,right edge,0.2,0.3333333333333333,0.3333333333333333,1,stem,2,0,0,Lexical,subphrasal,"Vowel alternation: e > u; ę > ą (The vowels e, ę alternate with u, ą in this domain); this constraint is resolved by: ablaut/gradation (root vowel variations)",process,process,segmental,0,0,0,,,,,Grammar Explicit,1,1,1,1,0,,,0,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
2330,poli1260,Polish,left edge,0.4,0.3333333333333333,0.6666666666666667,1,stem + suffix,3,0,0,Lexical,subphrasal,"Vowel Quality Alternations: e > o; ě > a (The vowels e, o alternate with ě, a in this domain); this constraint is resolved by: Vowel Alternation (Any general (further unspecified) vowel alternation)",assimilation,process,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
2330,poli1260,Polish,left edge,0.4,0.3333333333333333,0,0,POSwd (preposed) + stem,28,,,Non-Lexical,phrasal,Vowel > Ø (Zero) Alternation (A vowel alternates with ‘zero’ in this domain),allophony,allophony,segmental,,,,,,,,Grammar Explicit,2,1,0,,,,,,other,non_structure_preserving,,,,pword exhaustive,P Domain,low,low,low
464,mode1248,Greek (modern),right edge,0.5,0.3333333333333333,1,1,stem ± suffix,3,,,Lexical,subphrasal,*CC Coda (No C clusters are permitted in coda position in this domain),constraint,constraint,segmental,0,0,0,0,0,0,0,Questionnaire,2,1,2,1,,,,1,other,structure_preserving,0,,1,pword exhaustive,P Domain,low,medium,low
1890,lith1251,Lithuanian,right edge,0.25,0.5,0.5,1,stem,2,,,Lexical,subphrasal,Superheavy VVC only Here (This type of superheavy syllable occurs in this domain),constraint,constraint,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,0,0,other,structure_preserving,0,,0,pword exhaustive,P Domain,low,low,low
1890,lith1251,Lithuanian,right edge,0.25,0.5,0.5,1,stem,2,,,Lexical,subphrasal,Superheavy V:C only Here (This type of superheavy syllable (long vowel + coda) occurs only in this domain),constraint,constraint,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,0,0,other,structure_preserving,0,,0,pword exhaustive,P Domain,low,low,low
1890,lith1251,Lithuanian,left edge,0.5,1,1,2,stem + stem,22,,,Lexical,phrasal,Superheavy V:C only Here (This type of superheavy syllable (long vowel + coda) occurs only in this domain),constraint,constraint,segmental,0,0,0,,,,,Questionnaire,2,2,2,0,,,,0,other,structure_preserving,0,,0,pword exhaustive,P Domain,medium,medium,low
464,mode1248,Greek (modern),spans,0.5,0.6666666666666667,1,2,stem + stem,22,,,Lexical,phrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: vowel deletion/syllable deletion (removal of a vowel constituent; if vowel is syllabic then same as syllable deletion)",deletion,process,segmental,0,0,0,0,0,0,0,Questionnaire,2,2,2,0,,,,0,other,structure_preserving,0,,0,pword exhaustive,P Domain,low,medium,low
464,mode1248,Greek (modern),spans,0.75,0.6666666666666667,1,1,stem ± prefix ± suffix,18,,,Lexical,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: vowel deletion/syllable deletion (removal of a vowel constituent; if vowel is syllabic then same as syllable deletion)",deletion,process,segmental,0,1,1,0,0,0,0,Questionnaire,3,2,2,0,,,,1,other,structure_preserving,0,,0,pword exhaustive,P Domain,low,medium,low
435,iris1253,Irish,spans,0.428571428571429,0.5,0.5,1,preposed particle ± stem ± postposed particle,82,,1,Lexical,phrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: vowel deletion/syllable deletion (removal of a vowel constituent; if vowel is syllabic then same as syllable deletion)",deletion,process,segmental,,,,1,,1,1,Grammar Explicit,3,2,2,1,1,,,,other,structure_preserving,,,,pword exhaustive,P Domain,low,low,low
435,iris1253,Irish,right edge,0.285714285714286,0.5,0.25,1,stem + preposed particle,51,0,0,Lexical,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: glottal fricative (h) insertion (glottal fricative (h) inserted (as onset, presumably))",insertion,process,segmental,0,0,0,0,0,0,1,Grammar Explicit,2,2,1,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
1890,lith1251,Lithuanian,medial,0.25,0.5,0.5,1,stem,2,,,Lexical,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: Palatal glide (j) insertion (Insertion of a specific POA glide (palatal))",insertion,process,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,0,0,other,structure_preserving,0,,0,pword exhaustive,P Domain,low,low,low
1890,lith1251,Lithuanian,right edge,0.5,1,0.5,1,prefix + stem,4,,,Lexical,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: vowel deletion/syllable deletion (removal of a vowel constituent; if vowel is syllabic then same as syllable deletion)",deletion,process,segmental,0,0,1,,,,,Questionnaire,2,2,1,0,,,0,0,other,structure_preserving,0,,0,pword exhaustive,P Domain,medium,low,low
456,west2369,Persian,right edge,0.4,0.3333333333333333,0.6666666666666667,1,stem + postposed particle,49,0,0,Lexical,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: glottal fricative (h) insertion (glottal fricative (h) inserted (as onset, presumably))",insertion,process,segmental,0,0,0,0,0,0,0,Questionnaire,2,1,2,0,1,,,0,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
456,west2369,Persian,right edge,0.6,0.3333333333333333,1,1,stem ± suffix ± post particle,50,0,0,Lexical,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: vowel deletion/syllable deletion (removal of a vowel constituent; if vowel is syllabic then same as syllable deletion)",deletion,process,segmental,0,0,0,0,0,0,0,Questionnaire,3,1,3,1,1,,,1,other,structure_preserving,0,1,1,pword exhaustive,P Domain,low,medium,low
456,west2369,Persian,right edge,0.4,0,0.6666666666666667,0,suffix + suffix,17,0,0,Lexical,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: Palatal glide (j) insertion (Insertion of a specific POA glide (palatal))",insertion,process,segmental,0,0,0,0,0,0,0,Questionnaire,2,0,2,0,0,,,0,other,structure_preserving,0,0,1,pword exhaustive,P Domain,low,low,low
456,west2369,Persian,right edge,0.4,0.3333333333333333,0.6666666666666667,1,stem + suffix,3,0,0,Lexical,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: consonant gemination (the doubling of a singleton consonant: n > nn; can also be seen perhaps as a kind of fortition or lengthening)",strengthening,process,segmental,0,0,0,0,0,0,0,Questionnaire,2,1,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
2440,nucl1634,Sko,spans,0.6,0.6666666666666667,0.6666666666666667,1,stem ± prefix ± suffix,18,0,0,Lexical,subphrasal,Max trisyllabic for single tone pattern (A morphological or syntactic unit cannot be bigger than 3 syllables for realization of a single tone pattern),size_related,size_related,size_related,0,1,1,0,0,0,0,Questionnaire,3,2,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
2440,nucl1634,Sko,left edge,0.4,0.3333333333333333,0.6666666666666667,1,stem + suffix,3,0,0,Lexical,subphrasal,"Tone Defaults to H (In this domain a particular tone defaults to HIGH); this constraint is resolved by: Tone change: Falling contour to High level, Anticipatory (A falling tone becomes high level based on what follows)",tone,tone,suprasegmental,0,0,0,0,0,0,0,Questionnaire,2,1,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
2440,nucl1634,Sko,spans,0.6,0.6666666666666667,0.6666666666666667,1,stem ± prefix ± suffix,18,0,0,Lexical,subphrasal,Single tone Pattern (A single level or changing tone pattern realized in this domain),tone,tone,suprasegmental,0,1,1,0,0,0,0,Questionnaire,3,2,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
2440,nucl1634,Sko,spans,0.2,0,0.3333333333333333,0,Postposed unrestricted particle,48,1,0,Lexical,subphrasal,Single tone Pattern (A single level or changing tone pattern realized in this domain),tone,tone,suprasegmental,0,0,0,0,0,0,0,Questionnaire,1,0,1,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
